name;description;year;manufacturer;width;height;rotate
005;005;1981;Sega;256;224;270
10yard;10-Yard Fight (World, set 1);1983;Irem;256;224;0
1292apvs;1292 Advanced Programmable Video System;1976;Radofin;177;270;0
1941;1941: Counter Attack (World 900227);1990;Capcom;384;224;270
1942;1942 (Revision B);1984;Capcom;256;224;270
1943;1943: The Battle of Midway (Euro);1987;Capcom;256;224;270
1943kai;1943 Kai: Midway Kaisen (Japan);1987;Capcom;256;224;270
1943mii;1943: The Battle of Midway Mark II (US);1987;Capcom;256;224;270
1944;1944: The Loop Master (USA 000620);2000;Eighting / Raizing (Capcom license);384;224;0
1945kiii;1945k III (newer, OPCX2 PCB);2000;Oriental Soft;320;224;270
19xx;19XX: The War Against Destiny (Euro 960104);1996;Capcom;384;224;270
20pacgal;Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.08);2000;Namco / Cosmodog;288;224;90
25pacman;Pac-Man - 25th Anniversary Edition (Rev 3.00);2006;Namco / Cosmodog;288;224;90
280zzzap;280-ZZZAP;1976;Dave Nutting Associates / Midway;260;224;0
2mindril;Two Minute Drill (Ver 2.93A 1994/02/16);1993;Taito America Corporation;320;224;0
32x;Genesis with 32X (USA, NTSC);1994;Sega;256;224;0
32x_scd;Sega CD with 32X (USA, NTSC);1994;Sega;256;224;0
39in1;39 in 1 MAME bootleg;2004;bootleg;296;480;270
3b1;UNIX PC Model 3B1;1985;AT&T;720;348;0
3bagflvt;3 Bags Full (5VXFC790, Victoria);1996;Aristocrat;304;216;0
3do;3DO (NTSC);1993;The 3DO Company;1280;240;0
3dobios;3DO Bios;1993;The 3DO Company;1280;240;0
3in1semi;New HyperMan (3-in-1 with Cookie & Bibi & HyperMan);1998;SemiCom / XESS;256;224;0
3kokushi;Sankokushi (Japan);1996;Mitchell;320;240;0
3lilpigs;3 Lil' Pigs;199?;Doyle & Assoc.;96;8;0
3on3dunk;3 On 3 Dunk Madness (US, prototype? 1997/02/04);1996;Video System Co.;320;224;0
3stooges;The Three Stooges In Brides Is Brides (set 1);1984;Mylstar;256;240;0
3super8;3 Super 8 (Italy);1993?;<unknown>;512;240;0
3wishrd;Three Wishes Red (Russia) (Atronic);2002;Atronic;512;224;0
3wonders;Three Wonders (World 910520);1991;Capcom;384;224;0
3x3puzzl;3X3 Puzzle (Enterprise);1998;Ace Enterprise;320;240;0
40love;Forty-Love (World);1984;Taito Corporation;256;224;0
